id	choice_key	dilemma_key	payload_key	value	target_key
195525	FOURTH	sm0_rd_wh2_main_sc_def_dark_elves_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195526	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195527	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195528	SECOND	sm0_rd_wh2_main_sc_hef_high_elves_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195529	THIRD	sm0_rd_wh2_main_sc_hef_high_elves_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195530	FOURTH	sm0_rd_wh2_main_sc_hef_high_elves_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195531	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195532	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195533	SECOND	sm0_rd_wh2_main_sc_lzd_lizardmen_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195534	THIRD	sm0_rd_wh2_main_sc_lzd_lizardmen_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195535	FOURTH	sm0_rd_wh2_main_sc_lzd_lizardmen_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195536	FIRST	sm0_rd_wh2_main_sc_skv_skaven_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195537	FIRST	sm0_rd_wh2_main_sc_skv_skaven_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195538	SECOND	sm0_rd_wh2_main_sc_skv_skaven_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195539	THIRD	sm0_rd_wh2_main_sc_skv_skaven_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195540	FOURTH	sm0_rd_wh2_main_sc_skv_skaven_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195541	FIRST	sm0_rd_wh3_main_sc_cth_cathay_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195542	FIRST	sm0_rd_wh3_main_sc_cth_cathay_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195543	SECOND	sm0_rd_wh3_main_sc_cth_cathay_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195544	THIRD	sm0_rd_wh3_main_sc_cth_cathay_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195545	FOURTH	sm0_rd_wh3_main_sc_cth_cathay_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195546	FIRST	sm0_rd_wh3_main_sc_dae_daemons_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195547	FIRST	sm0_rd_wh3_main_sc_dae_daemons_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195548	SECOND	sm0_rd_wh3_main_sc_dae_daemons_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195549	THIRD	sm0_rd_wh3_main_sc_dae_daemons_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195550	FOURTH	sm0_rd_wh3_main_sc_dae_daemons_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195551	FIRST	sm0_rd_wh3_main_sc_kho_khorne_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195552	FIRST	sm0_rd_wh3_main_sc_kho_khorne_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195553	SECOND	sm0_rd_wh3_main_sc_kho_khorne_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195554	THIRD	sm0_rd_wh3_main_sc_kho_khorne_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195555	FOURTH	sm0_rd_wh3_main_sc_kho_khorne_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195556	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195557	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195558	SECOND	sm0_rd_wh3_main_sc_ksl_kislev_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195559	THIRD	sm0_rd_wh3_main_sc_ksl_kislev_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195560	FOURTH	sm0_rd_wh3_main_sc_ksl_kislev_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195561	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195562	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195563	SECOND	sm0_rd_wh3_main_sc_nur_nurgle_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195564	THIRD	sm0_rd_wh3_main_sc_nur_nurgle_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195565	FOURTH	sm0_rd_wh3_main_sc_nur_nurgle_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195566	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195567	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195568	SECOND	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195569	THIRD	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195570	FOURTH	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195571	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195572	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195573	SECOND	sm0_rd_wh3_main_sc_sla_slaanesh_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195574	THIRD	sm0_rd_wh3_main_sc_sla_slaanesh_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195575	FOURTH	sm0_rd_wh3_main_sc_sla_slaanesh_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195576	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195577	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195578	SECOND	sm0_rd_wh3_main_sc_tze_tzeentch_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195579	THIRD	sm0_rd_wh3_main_sc_tze_tzeentch_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195580	FOURTH	sm0_rd_wh3_main_sc_tze_tzeentch_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195581	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195582	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195583	SECOND	sm0_rd_wh_dlc03_sc_bst_beastmen_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195584	THIRD	sm0_rd_wh_dlc03_sc_bst_beastmen_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195585	FOURTH	sm0_rd_wh_dlc03_sc_bst_beastmen_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195586	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195587	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195588	SECOND	sm0_rd_wh_dlc05_sc_wef_wood_elves_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195589	THIRD	sm0_rd_wh_dlc05_sc_wef_wood_elves_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195590	FOURTH	sm0_rd_wh_dlc05_sc_wef_wood_elves_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195591	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195592	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195593	SECOND	sm0_rd_wh_dlc08_sc_nor_norsca_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195594	THIRD	sm0_rd_wh_dlc08_sc_nor_norsca_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195595	FOURTH	sm0_rd_wh_dlc08_sc_nor_norsca_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195596	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195597	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195598	SECOND	sm0_rd_wh_main_sc_brt_bretonnia_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195599	THIRD	sm0_rd_wh_main_sc_brt_bretonnia_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195600	FOURTH	sm0_rd_wh_main_sc_brt_bretonnia_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195601	FIRST	sm0_rd_wh_main_sc_chs_chaos_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195602	FIRST	sm0_rd_wh_main_sc_chs_chaos_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195603	SECOND	sm0_rd_wh_main_sc_chs_chaos_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195604	THIRD	sm0_rd_wh_main_sc_chs_chaos_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195605	FOURTH	sm0_rd_wh_main_sc_chs_chaos_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195606	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195607	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195608	SECOND	sm0_rd_wh_main_sc_dwf_dwarfs_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195609	THIRD	sm0_rd_wh_main_sc_dwf_dwarfs_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195610	FOURTH	sm0_rd_wh_main_sc_dwf_dwarfs_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195611	FIRST	sm0_rd_wh_main_sc_emp_empire_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195612	FIRST	sm0_rd_wh_main_sc_emp_empire_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195613	SECOND	sm0_rd_wh_main_sc_emp_empire_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195614	THIRD	sm0_rd_wh_main_sc_emp_empire_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195615	FOURTH	sm0_rd_wh_main_sc_emp_empire_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195616	FIRST	sm0_rd_wh_main_sc_grn_greenskins_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195617	FIRST	sm0_rd_wh_main_sc_grn_greenskins_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195618	SECOND	sm0_rd_wh_main_sc_grn_greenskins_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195619	THIRD	sm0_rd_wh_main_sc_grn_greenskins_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195620	FOURTH	sm0_rd_wh_main_sc_grn_greenskins_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195621	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195622	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195623	SECOND	sm0_rd_wh_main_sc_grn_savage_orcs_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195624	THIRD	sm0_rd_wh_main_sc_grn_savage_orcs_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195625	FOURTH	sm0_rd_wh_main_sc_grn_savage_orcs_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195626	FIRST	sm0_rd_wh_main_sc_teb_teb_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195627	FIRST	sm0_rd_wh_main_sc_teb_teb_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195628	SECOND	sm0_rd_wh_main_sc_teb_teb_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195629	THIRD	sm0_rd_wh_main_sc_teb_teb_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195630	FOURTH	sm0_rd_wh_main_sc_teb_teb_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195631	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195632	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195633	SECOND	sm0_rd_wh_main_sc_vmp_vampire_counts_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195634	THIRD	sm0_rd_wh_main_sc_vmp_vampire_counts_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195635	FOURTH	sm0_rd_wh_main_sc_vmp_vampire_counts_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195636	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195637	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195638	SECOND	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195639	THIRD	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195640	FOURTH	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195641	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195642	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195643	SECOND	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195644	THIRD	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195645	FOURTH	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195646	FIRST	sm0_rd_wh2_main_rogue_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195647	FIRST	sm0_rd_wh2_main_rogue_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195648	SECOND	sm0_rd_wh2_main_rogue_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195649	THIRD	sm0_rd_wh2_main_rogue_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195650	FOURTH	sm0_rd_wh2_main_rogue_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195651	FIRST	sm0_rd_wh2_main_rogue_chaos_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195652	FIRST	sm0_rd_wh2_main_rogue_chaos_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195653	SECOND	sm0_rd_wh2_main_rogue_chaos_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195654	THIRD	sm0_rd_wh2_main_rogue_chaos_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195655	FOURTH	sm0_rd_wh2_main_rogue_chaos_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195656	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195657	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195658	SECOND	sm0_rd_wh2_main_sc_def_dark_elves_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195659	THIRD	sm0_rd_wh2_main_sc_def_dark_elves_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195660	FOURTH	sm0_rd_wh2_main_sc_def_dark_elves_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195661	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195662	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195663	SECOND	sm0_rd_wh2_main_sc_hef_high_elves_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195664	THIRD	sm0_rd_wh2_main_sc_hef_high_elves_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195665	FOURTH	sm0_rd_wh2_main_sc_hef_high_elves_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195666	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195667	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195668	SECOND	sm0_rd_wh2_main_sc_lzd_lizardmen_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195669	THIRD	sm0_rd_wh2_main_sc_lzd_lizardmen_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195670	FOURTH	sm0_rd_wh2_main_sc_lzd_lizardmen_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195671	FIRST	sm0_rd_wh2_main_sc_skv_skaven_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195672	FIRST	sm0_rd_wh2_main_sc_skv_skaven_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195673	SECOND	sm0_rd_wh2_main_sc_skv_skaven_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195674	THIRD	sm0_rd_wh2_main_sc_skv_skaven_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195675	FOURTH	sm0_rd_wh2_main_sc_skv_skaven_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195676	FIRST	sm0_rd_wh3_main_sc_cth_cathay_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195677	FIRST	sm0_rd_wh3_main_sc_cth_cathay_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195678	SECOND	sm0_rd_wh3_main_sc_cth_cathay_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195679	THIRD	sm0_rd_wh3_main_sc_cth_cathay_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195680	FOURTH	sm0_rd_wh3_main_sc_cth_cathay_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195681	FIRST	sm0_rd_wh3_main_sc_dae_daemons_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195682	FIRST	sm0_rd_wh3_main_sc_dae_daemons_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195683	SECOND	sm0_rd_wh3_main_sc_dae_daemons_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195684	THIRD	sm0_rd_wh3_main_sc_dae_daemons_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195685	FOURTH	sm0_rd_wh3_main_sc_dae_daemons_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195686	FIRST	sm0_rd_wh3_main_sc_kho_khorne_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195687	FIRST	sm0_rd_wh3_main_sc_kho_khorne_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195688	SECOND	sm0_rd_wh3_main_sc_kho_khorne_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195689	THIRD	sm0_rd_wh3_main_sc_kho_khorne_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195690	FOURTH	sm0_rd_wh3_main_sc_kho_khorne_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195691	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195692	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195693	SECOND	sm0_rd_wh3_main_sc_ksl_kislev_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195694	THIRD	sm0_rd_wh3_main_sc_ksl_kislev_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195695	FOURTH	sm0_rd_wh3_main_sc_ksl_kislev_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195696	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195697	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195698	SECOND	sm0_rd_wh3_main_sc_nur_nurgle_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195699	THIRD	sm0_rd_wh3_main_sc_nur_nurgle_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195700	FOURTH	sm0_rd_wh3_main_sc_nur_nurgle_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195701	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195702	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195703	SECOND	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195704	THIRD	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195705	FOURTH	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195706	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195707	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195708	SECOND	sm0_rd_wh3_main_sc_sla_slaanesh_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195709	THIRD	sm0_rd_wh3_main_sc_sla_slaanesh_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195710	FOURTH	sm0_rd_wh3_main_sc_sla_slaanesh_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195711	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195712	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195713	SECOND	sm0_rd_wh3_main_sc_tze_tzeentch_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195714	THIRD	sm0_rd_wh3_main_sc_tze_tzeentch_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195715	FOURTH	sm0_rd_wh3_main_sc_tze_tzeentch_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195716	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195717	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195718	SECOND	sm0_rd_wh_dlc03_sc_bst_beastmen_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195719	THIRD	sm0_rd_wh_dlc03_sc_bst_beastmen_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195720	FOURTH	sm0_rd_wh_dlc03_sc_bst_beastmen_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195721	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195722	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195723	SECOND	sm0_rd_wh_dlc05_sc_wef_wood_elves_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
